Date,Vendor,Category,Amount
2025-09-09,Brightline Courier,Office,275.51
2025-01-03,Marlowe Fuel,Services,91.26
2025-06-21,Trellis Cleaning,Office,134.01
2025-10-15,Ashby Catering,Services,410.96
2025-08-15,Northgate Supply,Travel,76.07
2025-08-22,Northgate Supply,Supplies,318.5
2025-07-18,Northgate Supply,Meals,82.16
2025-03-13,Kestrel Print,Office,27.55
2025-07-26,Pemberton Office,Services,275.2
2025-08-01,Cedar & Poll,Meals,23.98
2025-05-02,Ashby Catering,Meals,352.08
2025-09-12,Pemberton Office,Meals,263.82
2025-06-06,Ashby Catering,Travel,366.25
2025-10-20,Halloran Tools,Supplies,230.81
2025-08-09,Ashby Catering,Supplies,109.94
2025-10-28,Cedar & Poll,Supplies,218.49
2025-05-25,Cedar & Poll,Meals,110.64
2025-10-13,Cedar & Poll,Meals,129.91
2025-02-21,Northgate Supply,Meals,206.91
2025-02-16,Vine Street Cafe,Supplies,288.13
2025-11-16,Halloran Tools,Meals,214.11
2025-11-19,Pemberton Office,Office,53.44
2025-08-21,Pemberton Office,Office,270.67
2025-01-09,Vine Street Cafe,Supplies,37.81
2025-05-26,Northgate Supply,Travel,247.79
2025-07-26,Northgate Supply,Meals,94.79
2025-11-17,Brightline Courier,Supplies,157.12
2025-01-03,Pemberton Office,Supplies,77.68
2025-06-27,Vine Street Cafe,Services,152.94
2025-04-21,Kestrel Print,Supplies,334.57
2025-11-05,Kestrel Print,Meals,336.99
2025-03-04,Pemberton Office,Meals,299.46
2025-01-26,Northgate Supply,Services,277.22
2025-08-26,Trellis Cleaning,Supplies,385.41
2025-11-28,Brightline Courier,Travel,61.1
2025-05-28,Halloran Tools,Meals,118.17
2025-10-23,Marlowe Fuel,Services,273.71
2025-12-24,Northgate Supply,Supplies,359.88
2025-07-26,Northgate Supply,Services,122.19
2025-08-21,Pemberton Office,Travel,169.48
2025-06-02,Northgate Supply,Travel,214.96
2025-04-08,Trellis Cleaning,Office,291.61
2025-09-14,Ashby Catering,Supplies,125.51
2025-03-01,Marlowe Fuel,Office,148.25
2025-01-01,Marlowe Fuel,Services,393.1
2025-10-10,Pemberton Office,Office,149.31
2025-05-07,Vine Street Cafe,Supplies,43.95
2025-02-28,Vine Street Cafe,Office,204.37
2025-12-17,Kestrel Print,Meals,96.5
2025-10-12,Kestrel Print,Supplies,147.04
2025-02-11,Northgate Supply,Meals,134.47
2025-11-18,Halloran Tools,Travel,178.27
2025-04-26,Pemberton Office,Office,66.05
2025-07-16,Halloran Tools,Services,336.6
2025-09-09,Trellis Cleaning,Services,183.35
2025-01-17,Brightline Courier,Travel,89.66
2025-01-20,Cedar & Poll,Travel,235.21
2025-05-26,Trellis Cleaning,Meals,123.66
2025-11-02,Northgate Supply,Supplies,41.93
2025-02-16,Kestrel Print,Meals,368.05
2025-01-18,Brightline Courier,Office,124.15
2025-12-20,Pemberton Office,Travel,410.14
2025-08-19,Kestrel Print,Supplies,339.07
2025-04-22,Trellis Cleaning,Supplies,36.29
2025-12-19,Cedar & Poll,Travel,39.57
2025-08-13,Northgate Supply,Supplies,46.71
2025-07-24,Pemberton Office,Services,59.61
2025-04-28,Pemberton Office,Services,362.26
2025-11-04,Ashby Catering,Meals,26.66
2025-12-17,Trellis Cleaning,Supplies,309.22
2025-04-09,Northgate Supply,Office,296.99
2025-08-07,Ashby Catering,Supplies,98.65
2025-07-11,Kestrel Print,Services,27.19
2025-05-20,Brightline Courier,Supplies,307.59
2025-11-18,Pemberton Office,Supplies,285.08
2025-09-26,Halloran Tools,Office,309.93
2025-05-08,Trellis Cleaning,Services,276.37
2025-11-15,Halloran Tools,Travel,275.44
2025-04-20,Brightline Courier,Services,249.21
2025-12-11,Trellis Cleaning,Supplies,24.59
2025-07-12,Halloran Tools,Meals,53.59
2025-07-08,Halloran Tools,Meals,409.51
2025-04-24,Halloran Tools,Office,214.27
2025-01-27,Kestrel Print,Supplies,44.23
2025-12-23,Ashby Catering,Meals,246.09
2025-05-09,Vine Street Cafe,Supplies,232.46
2025-01-05,Trellis Cleaning,Meals,337.04
2025-09-01,Marlowe Fuel,Services,153.22
2025-08-11,Cedar & Poll,Supplies,279.33
2025-05-26,Halloran Tools,Travel,56.65
2025-01-15,Pemberton Office,Services,237.54
2025-08-19,Northgate Supply,Meals,156.94
2025-01-03,Northgate Supply,Meals,233.1
2025-03-23,Ashby Catering,Travel,167.79
2025-05-05,Ashby Catering,Services,229.71
2025-01-18,Ashby Catering,Supplies,276.95
2025-03-26,Marlowe Fuel,Services,116.39
2025-03-01,Brightline Courier,Office,268.98
2025-01-24,Kestrel Print,Meals,26.24
2025-01-23,Trellis Cleaning,Office,280.23
2025-05-28,Ashby Catering,Travel,264.12
2025-06-23,Ashby Catering,Meals,337.75
2025-04-28,Pemberton Office,Meals,28.89
2025-10-10,Trellis Cleaning,Services,406.88
2025-04-18,Kestrel Print,Services,262.16
2025-03-21,Ashby Catering,Supplies,367.37
2025-03-27,Cedar & Poll,Services,284.74
2025-03-16,Ashby Catering,Services,296.32
2025-04-25,Ashby Catering,Travel,206.77
2025-01-08,Pemberton Office,Office,352.95
2025-12-03,Vine Street Cafe,Services,27.62
2025-06-02,Trellis Cleaning,Meals,318.1
2025-08-20,Vine Street Cafe,Supplies,42.68
2025-02-14,Northgate Supply,Services,87.5
2025-05-02,Cedar & Poll,Meals,39.16
2025-05-08,Vine Street Cafe,Office,158.21
2025-06-01,Kestrel Print,Meals,136.09
2025-01-01,Ashby Catering,Meals,182.09
2025-03-09,Cedar & Poll,Office,82.02
2025-02-16,Vine Street Cafe,Travel,140.88
2025-10-26,Pemberton Office,Services,114.21
2025-07-12,Vine Street Cafe,Meals,202.63
2025-09-19,Vine Street Cafe,Travel,130.3
2025-05-10,Halloran Tools,Office,273.28
2025-01-20,Pemberton Office,Meals,223.6
2025-06-28,Vine Street Cafe,Supplies,290.53
2025-12-15,Brightline Courier,Supplies,215.48
2025-04-19,Kestrel Print,Office,61.15
2025-09-11,Vine Street Cafe,Supplies,220.84
2025-05-02,Marlowe Fuel,Services,158.57
2025-02-18,Brightline Courier,Office,359.38
2025-07-23,Brightline Courier,Supplies,239.59
2025-07-19,Vine Street Cafe,Services,40.04
2025-12-06,Brightline Courier,Supplies,311.37
2025-04-22,Pemberton Office,Travel,386.72
2025-11-18,Ashby Catering,Services,381.14
2025-10-01,Northgate Supply,Travel,302.28
2025-04-20,Brightline Courier,Travel,318.18
2025-06-06,Vine Street Cafe,Services,57.92
2025-11-06,Marlowe Fuel,Travel,338.88
2025-12-08,Cedar & Poll,Office,153.47
2025-12-26,Cedar & Poll,Travel,267.93
2025-12-06,Pemberton Office,Meals,335.18
2025-12-06,Ashby Catering,Office,260.38
2025-11-02,Trellis Cleaning,Meals,168.84
2025-11-09,Halloran Tools,Travel,181.66
2025-11-02,Kestrel Print,Services,127.88
2025-04-22,Brightline Courier,Office,117.18
2025-12-08,Halloran Tools,Meals,386.7
2025-11-23,Brightline Courier,Supplies,386.44
2025-06-16,Northgate Supply,Office,179.69
2025-10-13,Brightline Courier,Services,117.85
2025-02-01,Ashby Catering,Services,164.27
2025-06-13,Cedar & Poll,Services,271.48
2025-10-06,Kestrel Print,Services,22.48
2025-11-25,Trellis Cleaning,Travel,194.69
2025-08-24,Northgate Supply,Office,231.79
2025-01-05,Kestrel Print,Supplies,202.31
2025-07-20,Halloran Tools,Travel,317.84
2025-12-02,Ashby Catering,Office,76.2
2025-03-20,Northgate Supply,Office,113.16
2025-11-13,Cedar & Poll,Office,299.02
2025-03-28,Ashby Catering,Services,407.49
2025-01-19,Brightline Courier,Travel,130.95
2025-04-15,Brightline Courier,Supplies,97.02
2025-11-17,Cedar & Poll,Office,84.44
2025-09-26,Halloran Tools,Supplies,76.95
2025-10-24,Vine Street Cafe,Office,170.88
2025-08-10,Northgate Supply,Services,29.07
2025-06-01,Halloran Tools,Services,353.6
2025-05-18,Marlowe Fuel,Travel,81.21
2025-12-12,Brightline Courier,Office,121.94
2025-05-10,Kestrel Print,Office,293.59
2025-11-06,Halloran Tools,Meals,319.62
2025-02-18,Brightline Courier,Supplies,359.17
2025-11-04,Harrowgate Consulting,Services,9412.66
2025-10-09,Kestrel Print,Supplies,276.4
2025-10-05,Marlowe Fuel,Supplies,213.69
2025-02-05,Northgate Supply,Supplies,265.73
2025-05-07,Ashby Catering,Services,171.4
2025-05-15,Northgate Supply,Meals,91.69
2025-09-23,Trellis Cleaning,Travel,231.65
2025-05-07,Halloran Tools,Services,257.45
2025-12-01,Brightline Courier,Office,288.92
2025-11-11,Marlowe Fuel,Supplies,408.6
2025-11-01,Brightline Courier,Supplies,300.11
2025-04-26,Pemberton Office,Travel,302.71
2025-08-22,Halloran Tools,Meals,143.18
2025-07-08,Ashby Catering,Supplies,230.15
2025-10-05,Kestrel Print,Travel,260.93
2025-11-19,Zeppelin Stationers,Supplies,63.4
2025-03-18,Kestrel Print,Services,283.28
2025-06-21,Northgate Supply,Meals,56.75
2025-01-05,Pemberton Office,Meals,287.41
2025-09-15,Ashby Catering,Office,40.6
2025-11-01,Pemberton Office,Travel,57.74
2025-10-06,Brightline Courier,Travel,227.43
2025-03-03,Trellis Cleaning,Meals,379.9
2025-06-22,Ashby Catering,Supplies,236.32
2025-10-08,Northgate Supply,Services,402.1
2025-05-15,Marlowe Fuel,Supplies,202.55
2025-01-15,Pemberton Office,Meals,207.94
2025-09-06,Vine Street Cafe,Meals,41.15
2025-03-12,Trellis Cleaning,Meals,286.72
2025-12-10,Brightline Courier,Supplies,257.74
2025-12-30,Northgate Supply,Office,101.01
